trialId,speechId,paragraphId,wordId,word,word_fixated,number_of_fixations,word_landing_position,word_first_fixation_duration,word_first_char_dwell,word_total_fix_time
1,1327,-1,1,NY,True,1,Y,255,255,255
1,1327,-1,2,TALE,True,2,L,129,129,423
1,1327,-1,3,BEGYNDER,True,6,B,168,285,1558
1,1327,-1,4,NU,True,2,N,325,325,689
2,1327,0,1,Hej,True,3,j,190,1325,1325
2,1327,0,2,alle,True,5,l,177,405,1240
2,1327,0,3,sammen!,True,5,m,275,653,1467
3,1327,1,1,Som,True,1,m,151,151,151
3,1327,1,2,I,True,1,I,164,164,164
3,1327,1,3,allerede,True,2,e,116,116,280
3,1327,1,4,"ved,",True,1,",",267,267,267
3,1327,1,5,vil,True,2,l,186,186,385
3,1327,1,6,vi,True,1,i,298,298,298
3,1327,1,7,om,True,1,m,135,135,135
3,1327,1,8,lidt,True,1,l,233,233,233
3,1327,1,9,tænde,True,1,æ,201,201,201
3,1327,1,10,for,False,0,,NA,NA,NA
3,1327,1,11,et,True,1,e,303,303,303
3,1327,1,12,"bål,",True,1,l,173,173,173
3,1327,1,13,der,True,1,e,155,155,155
3,1327,1,14,vil,True,1,i,158,158,158
3,1327,1,15,brænde,True,1,æ,224,224,224
3,1327,1,16,et,True,1,e,254,254,254
3,1327,1,17,skab,True,3,s,244,244,652
3,1327,1,18,af,True,1,f,258,258,258
3,1327,1,19,–,False,0,,NA,NA,NA
3,1327,1,20,det,True,1,d,139,139,139
3,1327,1,21,"skab,",True,2,s,177,177,370
3,1327,1,22,vi,True,1,i,143,143,143
3,1327,1,23,har,False,0,,NA,NA,NA
3,1327,1,24,følt,True,1,f,70,70,70
3,1327,1,25,os,True,2,o,202,644,644
3,1327,1,26,begrænset,True,3,æ,148,148,732
3,1327,1,27,"af,",True,1,a,124,124,124
3,1327,1,28,indelukket,True,2,l,183,183,409
3,1327,1,29,"i,",True,1,i,411,411,411
3,1327,1,30,og,True,1,g,227,227,227
3,1327,1,31,som,True,1,s,231,231,231
3,1327,1,32,de,True,1,d,172,172,172
3,1327,1,33,fleste,True,2,f,212,212,394
3,1327,1,34,af,False,0,,NA,NA,NA
3,1327,1,35,os,True,1,o,538,538,538
3,1327,1,36,er,True,2,e,187,187,507
3,1327,1,37,brudt,False,0,,NA,NA,NA
3,1327,1,38,ud,True,1,u,248,248,248
3,1327,1,39,af,True,1,a,142,142,142
3,1327,1,40,for,True,2,f,196,565,565
3,1327,1,41,at,True,2,t,232,232,404
3,1327,1,42,kunne,True,1,n,165,165,165
3,1327,1,43,blive,True,1,b,323,323,323
3,1327,1,44,lykkeligere.,True,2,i,139,139,462
4,1327,2,1,'Men,True,2,n,207,207,356
4,1327,2,2,skabe,True,3,e,169,332,577
4,1327,2,3,er,False,0,,NA,NA,NA
4,1327,2,4,da,True,1,a,252,252,252
4,1327,2,5,ganske,True,1,n,164,164,164
4,1327,2,6,praktiske,True,1,k,290,290,290
4,1327,2,7,til,True,1,l,211,211,211
4,1327,2,8,opbevaring,True,1,v,219,219,219
4,1327,2,9,af,True,1,f,135,135,135
4,1327,2,10,mangt,True,2,m,188,188,434
4,1327,2,11,og,True,2,o,251,251,529
4,1327,2,12,"meget,",True,1,m,388,388,388
4,1327,2,13,ikke,True,2,k,174,174,325
4,1327,2,14,sandt?',True,1,n,154,154,154
4,1327,2,15,"Jo,",True,1,o,248,248,248
4,1327,2,16,opbevaring,True,4,e,209,416,944
4,1327,2,17,af,False,0,,NA,NA,NA
4,1327,2,18,"værdier,",True,3,d,351,351,720
4,1327,2,19,det,True,1,t,218,218,218
4,1327,2,20,er,False,0,,NA,NA,NA
4,1327,2,21,rigtigt,True,2,i,104,104,290
4,1327,2,22,–,False,0,,NA,NA,NA
4,1327,2,23,men,True,1,n,172,320,320
4,1327,2,24,når,False,0,,NA,NA,NA
4,1327,2,25,vi,True,1,i,269,269,269
4,1327,2,26,først,True,2,t,307,307,468
4,1327,2,27,begynder,True,1,g,182,182,182
4,1327,2,28,at,True,1,t,151,151,151
4,1327,2,29,sætte,True,1,s,161,161,161
4,1327,2,30,spørgsmålstegn,True,2,g,201,201,476
4,1327,2,31,ved,True,2,d,193,193,316
4,1327,2,32,disse,False,0,,NA,NA,NA
4,1327,2,33,"værdier,",True,2,v,337,337,454
4,1327,2,34,så,False,0,,NA,NA,NA
4,1327,2,35,føles,True,2,e,184,184,395
4,1327,2,36,skabet,True,1,b,225,225,225
4,1327,2,37,mere,True,1,e,353,353,353
4,1327,2,38,og,False,0,,NA,NA,NA
4,1327,2,39,mere,False,0,,NA,NA,NA
4,1327,2,40,"trangt,",True,2,t,164,164,373
4,1327,2,41,for,False,0,,NA,NA,NA
4,1327,2,42,det,True,2,d,236,295,295
4,1327,2,43,kan,True,3,a,147,147,444
4,1327,2,44,ikke,True,1,e,207,207,207
4,1327,2,45,rumme,True,1,u,241,241,241
4,1327,2,46,vores,True,1,r,232,232,232
4,1327,2,47,ideer,True,1,e,195,195,195
4,1327,2,48,og,False,0,,NA,NA,NA
4,1327,2,49,følelser,True,1,ø,161,161,161
4,1327,2,50,mere.,False,0,,NA,NA,NA
5,1327,3,1,'Jamen,True,2,a,211,211,442
5,1327,3,2,hvad,True,2,v,126,344,344
5,1327,3,3,er,True,3,e,175,175,863
5,1327,3,4,der,False,0,,NA,NA,NA
5,1327,3,5,i,True,2,i,171,487,487
5,1327,3,6,det,True,3,d,158,158,691
5,1327,3,7,skab?',False,0,,NA,NA,NA
5,1327,3,8,Der,True,1,D,229,229,229
5,1327,3,9,er,False,0,,NA,NA,NA
5,1327,3,10,en,True,1,e,145,145,145
5,1327,3,11,opfattelse,True,2,t,170,170,320
5,1327,3,12,af,False,0,,NA,NA,NA
5,1327,3,13,at,True,2,t,201,201,385
5,1327,3,14,kvinder,False,0,,NA,NA,NA
5,1327,3,15,og,True,1,g,178,178,178
5,1327,3,16,mænd,True,1,m,219,219,219
5,1327,3,17,skal,True,1,l,307,307,307
5,1327,3,18,"tænke,",True,1,e,159,159,159
5,1327,3,19,"føle,",True,1,f,203,203,203
5,1327,3,20,klæde,True,1,l,150,150,150
5,1327,3,21,sig,True,4,g,419,539,979
5,1327,3,22,og,False,0,,NA,NA,NA
5,1327,3,23,handle,True,5,n,232,232,1266
5,1327,3,24,forskelligt,True,4,k,321,717,1087
5,1327,3,25,–,False,0,,NA,NA,NA
5,1327,3,26,fordi,True,1,d,305,305,305
5,1327,3,27,nogle,True,2,l,175,394,394
5,1327,3,28,er,True,1,e,228,228,228
5,1327,3,29,kvinder,True,2,v,391,391,675
5,1327,3,30,og,True,2,o,59,59,175
5,1327,3,31,andre,True,6,a,228,1162,1443
5,1327,3,32,er,False,0,,NA,NA,NA
5,1327,3,33,mænd.,True,2,m,185,533,533
5,1327,3,34,Kønsroller,True,2,K,296,296,510
5,1327,3,35,kalder,True,2,k,143,143,474
5,1327,3,36,vi,True,1,v,186,186,186
5,1327,3,37,det.,True,2,e,215,215,318
5,1327,3,38,Men,False,0,,NA,NA,NA
5,1327,3,39,det,True,1,e,193,193,193
5,1327,3,40,rækker,True,1,k,161,161,161
5,1327,3,41,faktisk,True,1,t,264,264,264
5,1327,3,42,meget,True,2,e,198,198,356
5,1327,3,43,længere,True,2,g,199,199,409
5,1327,3,44,end,True,1,n,144,144,144
5,1327,3,45,bare,True,3,b,155,366,573
5,1327,3,46,til,True,1,l,268,268,268
5,1327,3,47,"roller,",True,1,r,189,189,189
5,1327,3,48,vi,True,1,i,230,230,230
5,1327,3,49,spiller,True,1,l,151,151,151
5,1327,3,50,–,False,0,,NA,NA,NA
5,1327,3,51,rollerne,True,1,l,363,363,363
5,1327,3,52,invaderer,True,1,n,280,280,280
5,1327,3,53,vores,True,1,v,247,247,247
5,1327,3,54,tanker,True,1,t,120,120,120
5,1327,3,55,og,True,1,o,182,182,182
5,1327,3,56,vores,True,2,o,380,380,537
5,1327,3,57,"følelser,",True,2,l,137,137,322
5,1327,3,58,så,True,1,s,235,235,235
5,1327,3,59,vi,True,1,v,206,206,206
5,1327,3,60,næsten,True,2,t,110,110,312
5,1327,3,61,ikke,True,1,k,248,248,248
5,1327,3,62,kan,True,1,k,188,188,188
5,1327,3,63,tænke,True,3,t,264,264,656
5,1327,3,64,uden,True,2,n,166,166,325
5,1327,3,65,for,False,0,,NA,NA,NA
5,1327,3,66,"rollen,",True,1,o,264,264,264
5,1327,3,67,så,True,1,a,265,265,265
5,1327,3,68,længe,True,1,g,349,349,349
5,1327,3,69,skabet,True,3,k,262,262,525
5,1327,3,70,omslutter,True,3,l,226,226,687
5,1327,3,71,"os,",True,1,o,265,265,265
5,1327,3,72,og,True,1,o,133,133,133
5,1327,3,73,i,False,0,,NA,NA,NA
5,1327,3,74,hvert,True,1,r,214,214,214
5,1327,3,75,fald,True,1,d,172,172,172
5,1327,3,76,først,True,1,s,203,203,203
5,1327,3,77,og,False,0,,NA,NA,NA
5,1327,3,78,fremmest,True,1,e,310,310,310
5,1327,3,79,føler,True,1,l,237,237,237
5,1327,3,80,vi,False,0,,NA,NA,NA
5,1327,3,81,må,True,1,a,180,180,180
5,1327,3,82,tage,True,1,e,170,170,170
5,1327,3,83,hensyn,True,1,n,153,153,153
5,1327,3,84,til,False,0,,NA,NA,NA
5,1327,3,85,"dem,",False,0,,NA,NA,NA
5,1327,3,86,der,True,1,r,172,172,172
5,1327,3,87,er,False,0,,NA,NA,NA
5,1327,3,88,i,False,0,,NA,NA,NA
5,1327,3,89,skabet...,True,1,s,265,265,265
5,1327,3,90,Spørgsmål:,False,0,,NA,NA,NA
5,1327,3,91,Mener,False,0,,NA,NA,NA
5,1327,3,92,taleren,False,0,,NA,NA,NA
5,1327,3,93,at,False,0,,NA,NA,NA
5,1327,3,94,kønsroller,False,0,,NA,NA,NA
5,1327,3,95,både,False,0,,NA,NA,NA
5,1327,3,96,påvirker,False,0,,NA,NA,NA
5,1327,3,97,hvordan,False,0,,NA,NA,NA
5,1327,3,98,vi,False,0,,NA,NA,NA
5,1327,3,99,handler,False,0,,NA,NA,NA
5,1327,3,100,og,False,0,,NA,NA,NA
5,1327,3,101,tænker?,False,0,,NA,NA,NA
6,1327,4,1,Når,True,1,r,242,242,242
6,1327,4,2,vi,False,0,,NA,NA,NA
6,1327,4,3,endelig,True,1,n,288,288,288
6,1327,4,4,bryder,True,1,r,235,235,235
6,1327,4,5,ud,True,2,d,171,171,306
6,1327,4,6,af,False,0,,NA,NA,NA
6,1327,4,7,skabet,True,1,a,187,187,187
6,1327,4,8,og,True,2,g,257,257,542
