trialId,speechId,paragraphId,wordId,word,word_fixated,number_of_fixations,word_landing_position,word_first_fixation_duration,word_first_char_dwell,word_total_fix_time
1,1327,-1,1,NY,True,6,Y,334,1456,1928
1,1327,-1,2,TALE,True,33,T,230,2776,11828
1,1327,-1,3,BEGYNDER,True,28,Y,127,1998,9571
1,1327,-1,4,NU,True,9,N,228,1604,2317
2,1327,0,1,Hej,True,1,j,123,123,123
2,1327,0,2,alle,True,10,l,151,622,3375
2,1327,0,3,sammen!,True,4,e,183,183,1005
3,1327,1,1,Som,False,0,,NA,NA,NA
3,1327,1,2,I,True,1,I,168,168,168
3,1327,1,3,allerede,True,2,a,116,116,267
3,1327,1,4,"ved,",True,1,",",299,299,299
3,1327,1,5,vil,True,2,v,118,118,304
3,1327,1,6,vi,True,2,i,213,213,324
3,1327,1,7,om,True,1,o,193,193,193
3,1327,1,8,lidt,True,2,l,118,118,417
3,1327,1,9,tænde,True,1,e,239,239,239
3,1327,1,10,for,True,1,o,177,177,177
3,1327,1,11,et,True,1,t,247,247,247
3,1327,1,12,"bål,",False,0,,NA,NA,NA
3,1327,1,13,der,False,0,,NA,NA,NA
3,1327,1,14,vil,True,2,l,232,232,369
3,1327,1,15,brænde,True,1,æ,171,171,171
3,1327,1,16,et,True,2,t,231,440,440
3,1327,1,17,skab,True,2,b,145,145,399
3,1327,1,18,af,True,1,a,148,148,148
3,1327,1,19,–,False,0,,NA,NA,NA
3,1327,1,20,det,True,1,d,400,400,400
3,1327,1,21,"skab,",True,1,",",194,194,194
3,1327,1,22,vi,False,0,,NA,NA,NA
3,1327,1,23,har,False,0,,NA,NA,NA
3,1327,1,24,følt,True,1,l,239,239,239
3,1327,1,25,os,True,1,s,179,179,179
3,1327,1,26,begrænset,True,3,g,114,114,541
3,1327,1,27,"af,",False,0,,NA,NA,NA
3,1327,1,28,indelukket,True,2,d,227,227,404
3,1327,1,29,"i,",False,0,,NA,NA,NA
3,1327,1,30,og,False,0,,NA,NA,NA
3,1327,1,31,som,True,1,s,188,188,188
3,1327,1,32,de,True,1,e,219,219,219
3,1327,1,33,fleste,False,0,,NA,NA,NA
3,1327,1,34,af,True,1,f,226,226,226
3,1327,1,35,os,False,0,,NA,NA,NA
3,1327,1,36,er,True,1,e,184,184,184
3,1327,1,37,brudt,True,1,d,208,208,208
3,1327,1,38,ud,False,0,,NA,NA,NA
3,1327,1,39,af,True,1,a,230,230,230
3,1327,1,40,for,True,1,r,141,141,141
3,1327,1,41,at,False,0,,NA,NA,NA
3,1327,1,42,kunne,True,1,n,128,128,128
3,1327,1,43,blive,False,0,,NA,NA,NA
3,1327,1,44,lykkeligere.,True,4,r,132,132,1043
4,1327,2,1,'Men,True,1,n,66,66,66
4,1327,2,2,skabe,True,2,b,44,44,162
4,1327,2,3,er,True,1,e,225,225,225
4,1327,2,4,da,True,1,d,143,143,143
4,1327,2,5,ganske,True,2,a,58,58,268
4,1327,2,6,praktiske,True,1,k,252,252,252
4,1327,2,7,til,False,0,,NA,NA,NA
4,1327,2,8,opbevaring,True,1,b,303,303,303
4,1327,2,9,af,False,0,,NA,NA,NA
4,1327,2,10,mangt,True,3,m,273,273,718
4,1327,2,11,og,True,2,g,119,364,364
4,1327,2,12,"meget,",True,2,e,127,127,368
