trialId,speechId,paragraphId,wordId,word,word_fixated,number_of_fixations,word_landing_position,word_first_fixation_duration,word_first_char_dwell,word_total_fix_time,word_landing_position_char,word_landing_position_index,word_first_char_dwell_time,word_gaze_duration,word_go_past_time
1,1327,-1,1,NY,True,1,,256,,256,N,0.0,256.0,256.0,256.0
1,1327,-1,2,TALE,True,5,,154,,1162,T,0.0,895.0,TBD,TBD
1,1327,-1,3,BEGYNDER,True,5,,187,,985,E,1.0,187.0,TBD,985
1,1327,-1,4,NU,False,0,,NA,,NA,NA,NA,NA,NA,NA
2,1327,0,1,Hej,True,1,,297,,297,j,2,297,TBD,TBD
2,1327,0,2,alle,True,1,,206,,206,l,1,206,206,206
2,1327,0,3,sammen!,True,2,,97,,401,s,0,97,401,401
3,1327,1,1,Som,True,1,,222,,222,S,0,222,222,222
3,1327,1,2,I,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,3,allerede,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,4,"ved,",True,1,,100,,100,e,1,100,100,100
3,1327,1,5,vil,True,1,,273,,273,v,0,273,273,273
3,1327,1,6,vi,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,7,om,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,8,lidt,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,9,tænde,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,10,for,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,11,et,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,12,"bål,",False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,13,der,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,14,vil,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,15,brænde,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,16,et,True,1,,185,,185,e,0,185,TBD,TBD
3,1327,1,17,skab,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,18,af,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,19,–,False,0,,NA,,NA,NA,NA,NA,NA,NA
