"RECORDING_SESSION_LABEL"	"TRIAL_INDEX"	"CURRENT_FIX_DURATION"	"CURRENT_FIX_INDEX"	"CURRENT_FIX_INTEREST_AREAS"	"CURRENT_FIX_INTEREST_AREA_DATA"	"CURRENT_FIX_INTEREST_AREA_DWELL_TIME"	"CURRENT_FIX_INTEREST_AREA_FIX_COUNT"	"CURRENT_FIX_INTEREST_AREA_ID"	"CURRENT_FIX_INTEREST_AREA_INDEX"	"CURRENT_FIX_INTEREST_AREA_LABEL"	"CURRENT_FIX_INTEREST_AREA_RUN_ID"	"CURRENT_FIX_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA"	"CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE"	"CURRENT_FIX_REFIX_INTEREST_AREA"	"CURRENT_FIX_REFIX_PREV_INTEREST_AREA"	"CURRENT_FIX_RUN_INDEX"	"CURRENT_FIX_RUN_SIZE"	"EYE_USED"	"NEXT_FIX_INTEREST_AREAS"	"NEXT_FIX_INTEREST_AREA_DATA"	"NEXT_FIX_INTEREST_AREA_ID"	"NEXT_FIX_INTEREST_AREA_LABEL"	"NEXT_FIX_INTEREST_AREA_RUN_ID"	"NEXT_FIX_INTEREST_AREA_INDEX"	"NEXT_SAC_DIRECTION"	"NEXT_SAC_END_INTEREST_AREAS"	"NEXT_SAC_END_INTEREST_AREA_ID"	"NEXT_SAC_END_INTEREST_AREA_LABEL"	"NEXT_SAC_END_INTEREST_AREA_INDEX"	"NEXT_SAC_DURATION"	"NEXT_SAC_PEAK_VELOCITY"	"NEXT_SAC_AMPLITUDE"	"PREVIOUS_FIX_INTEREST_AREA_ID"	"TRIAL_FIXATION_TOTAL"	"Session_Name_"	"Trial_Index_"	"paragraphid"	"speechid"
"P13"	1	578	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	16	"U"	12,61	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ ]	.	.	.	48	244,38	7,25	.	6	P13	1	-1	1327
"P13"	1	148	2	[ ]	.	.	.	.	.	.	.	Fixation: 633 ms	16	"U"	5,66	.	.	.	.	"RIGHT"	[ 8]	[STATIC, RECTANGLE, 335.0, 110.0, 350.0, 204.0]	8	"E"	1	8	LEFT	[ 8]	8	E	8	50	262,35	7,82	.	6	P13	1	-1	1327
"P13"	1	175	3	[ 8]	[STATIC, RECTANGLE, 335.0, 110.0, 350.0, 204.0]	636	2	8	8	"E"	1	Fixation: 831 ms	8	"E"	0,31	0	0	1	1	"RIGHT"	[ 4]	[STATIC, RECTANGLE, 260.0, 110.0, 275.0, 204.0]	4	"A"	1	4	LEFT	[ 5]	5	L	5	17	73,16	1,21	.	6	P13	1	-1	1327
"P13"	1	422	4	[ 4]	[STATIC, RECTANGLE, 260.0, 110.0, 275.0, 204.0]	422	1	4	4	"A"	1	Fixation: 1023 ms	4	"A"	0,26	0	1	1	1	"RIGHT"	[ 8]	[STATIC, RECTANGLE, 335.0, 110.0, 350.0, 204.0]	8	"E"	2	8	RIGHT	[ 8]	8	E	8	18	106,19	1,33	8	6	P13	1	-1	1327
"P13"	1	461	5	[ 8]	[STATIC, RECTANGLE, 335.0, 110.0, 350.0, 204.0]	636	2	8	8	"E"	2	Fixation: 1463 ms	8	"E"	0,20	3	0	1	1	"RIGHT"	[ 6]	[STATIC, RECTANGLE, 290.0, 110.0, 312.0, 204.0]	6	"E"	1	6	.	[ 7]	7	B	7	92	250,92	0,38	4	6	P13	1	-1	1327
"P13"	1	740	6	[ 6]	[STATIC, RECTANGLE, 290.0, 110.0, 312.0, 204.0]	740	1	6	6	"E"	1	Fixation: 3438 ms	6	"E"	0,22	0	1	1	1	"RIGHT"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	8	6	P13	1	-1	1327
"P13"	2	454	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	14	"!"	13,36	.	.	.	.	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	21	65,65	0,62	.	5	P13	2	0	1327
"P13"	2	159	2	[ ]	.	.	.	.	.	.	.	Fixation: 642 ms	7	"e"	1,20	.	.	.	.	"RIGHT"	[ 7]	[STATIC, RECTANGLE, 305.0, 112.0, 327.0, 206.0]	7	"e"	1	7	.	[ 7]	7	e	7	8	41,99	0,38	.	5	P13	2	0	1327
"P13"	2	278	3	[ 7]	[STATIC, RECTANGLE, 305.0, 112.0, 327.0, 206.0]	496	2	7	7	"e"	1	Fixation: 809 ms	7	"e"	0,75	0	0	1	1	"RIGHT"	[ ]	.	.	.	.	.	RIGHT	[ ]	.	.	.	20	110,14	1,38	.	5	P13	2	0	1327
"P13"	2	433	4	[ ]	.	.	.	.	.	.	.	Fixation: 1107 ms	10	"m"	1,11	.	.	.	.	"RIGHT"	[ 7]	[STATIC, RECTANGLE, 305.0, 112.0, 327.0, 206.0]	7	"e"	2	7	LEFT	[ 7]	7	e	7	20	85,40	1,36	7	5	P13	2	0	1327
