"RECORDING_SESSION_LABEL"	"TRIAL_INDEX"	"CURRENT_FIX_DURATION"	"CURRENT_FIX_INDEX"	"CURRENT_FIX_INTEREST_AREAS"	"CURRENT_FIX_INTEREST_AREA_DATA"	"CURRENT_FIX_INTEREST_AREA_DWELL_TIME"	"CURRENT_FIX_INTEREST_AREA_FIX_COUNT"	"CURRENT_FIX_INTEREST_AREA_ID"	"CURRENT_FIX_INTEREST_AREA_INDEX"	"CURRENT_FIX_INTEREST_AREA_LABEL"	"CURRENT_FIX_INTEREST_AREA_RUN_ID"	"CURRENT_FIX_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA"	"CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL"	"CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE"	"CURRENT_FIX_REFIX_INTEREST_AREA"	"CURRENT_FIX_REFIX_PREV_INTEREST_AREA"	"CURRENT_FIX_RUN_INDEX"	"CURRENT_FIX_RUN_SIZE"	"EYE_USED"	"NEXT_FIX_INTEREST_AREAS"	"NEXT_FIX_INTEREST_AREA_DATA"	"NEXT_FIX_INTEREST_AREA_ID"	"NEXT_FIX_INTEREST_AREA_LABEL"	"NEXT_FIX_INTEREST_AREA_RUN_ID"	"NEXT_FIX_INTEREST_AREA_INDEX"	"NEXT_SAC_DIRECTION"	"NEXT_SAC_END_INTEREST_AREAS"	"NEXT_SAC_END_INTEREST_AREA_ID"	"NEXT_SAC_END_INTEREST_AREA_LABEL"	"NEXT_SAC_END_INTEREST_AREA_INDEX"	"NEXT_SAC_DURATION"	"NEXT_SAC_PEAK_VELOCITY"	"NEXT_SAC_AMPLITUDE"	"PREVIOUS_FIX_INTEREST_AREA_ID"	"TRIAL_FIXATION_TOTAL"	"Session_Name_"	"Trial_Index_"	"paragraphid"	"speechid"
"P13"	2	218	5	[ 7]	[STATIC, RECTANGLE, 305.0, 112.0, 327.0, 206.0]	496	2	7	7	"e"	2	Fixation: 1560 ms	7	"e"	0,80	3	0	1	1	"RIGHT"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5	P13	2	0	1327
"P13"	3	264	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	117	"s"	6,03	.	.	.	.	"RIGHT"	[ 8]	[STATIC, RECTANGLE, 335.0, 111.0, 350.0, 204.0]	8	"e"	1	8	LEFT	[ 94]	94	,	94	84	362,65	11,30	.	28	P13	3	1	1327
"P13"	3	223	2	[ 8]	[STATIC, RECTANGLE, 335.0, 111.0, 350.0, 204.0]	223	1	8	8	"e"	1	Fixation: 551 ms	8	"e"	0,12	0	0	1	1	"RIGHT"	[ 19]	[STATIC, RECTANGLE, 530.0, 111.0, 552.0, 204.0]	19	"l"	1	19	.	[ 9]	9	r	9	125	0,00	0,21	.	28	P13	3	1	1327
"P13"	3	116	3	[ 19]	[STATIC, RECTANGLE, 530.0, 111.0, 552.0, 204.0]	384	2	19	19	"l"	1	Fixation: 810 ms	19	"l"	0,61	0	0	1	1	"RIGHT"	[ 24]	[STATIC, RECTANGLE, 642.0, 111.0, 665.0, 204.0]	24	"l"	1	24	RIGHT	[ 24]	24	l	24	25	180,48	2,60	8	28	P13	3	1	1327
"P13"	3	338	4	[ 24]	[STATIC, RECTANGLE, 642.0, 111.0, 665.0, 204.0]	338	1	24	24	"l"	1	Fixation: 951 ms	24	"l"	0,44	0	0	1	1	"RIGHT"	[ 19]	[STATIC, RECTANGLE, 530.0, 111.0, 552.0, 204.0]	19	"l"	2	19	LEFT	[ 19]	19	l	19	34	116,79	2,29	19	28	P13	3	1	1327
"P13"	3	268	5	[ 19]	[STATIC, RECTANGLE, 530.0, 111.0, 552.0, 204.0]	384	2	19	19	"l"	2	Fixation: 1323 ms	19	"l"	0,77	3	1	1	1	"RIGHT"	[ 23]	[STATIC, RECTANGLE, 620.0, 111.0, 642.0, 204.0]	23	"m"	1	23	RIGHT	[ 22]	22	o	22	22	141,18	1,62	24	28	P13	3	1	1327
"P13"	3	174	6	[ 23]	[STATIC, RECTANGLE, 620.0, 111.0, 642.0, 204.0]	174	1	23	23	"m"	1	Fixation: 1613 ms	23	"m"	0,57	0	1	1	1	"RIGHT"	[ 27]	[STATIC, RECTANGLE, 695.0, 111.0, 717.0, 204.0]	27	"t"	1	27	RIGHT	[ 27]	27	t	27	19	128,66	1,58	19	28	P13	3	1	1327
"P13"	3	140	7	[ 27]	[STATIC, RECTANGLE, 695.0, 111.0, 717.0, 204.0]	140	1	27	27	"t"	1	Fixation: 1806 ms	27	"t"	0,29	0	0	1	1	"RIGHT"	[ 34]	[STATIC, RECTANGLE, 830.0, 111.0, 845.0, 204.0]	34	"o"	1	34	RIGHT	[ 33]	33	f	33	30	147,82	2,83	23	28	P13	3	1	1327
"P13"	3	169	8	[ 34]	[STATIC, RECTANGLE, 830.0, 111.0, 845.0, 204.0]	169	1	34	34	"o"	1	Fixation: 1976 ms	34	"o"	0,04	0	0	1	1	"RIGHT"	[ 38]	[STATIC, RECTANGLE, 912.0, 111.0, 935.0, 204.0]	38	"b"	1	38	RIGHT	[ 38]	38	b	38	23	144,99	1,97	27	28	P13	3	1	1327
"P13"	3	174	9	[ 38]	[STATIC, RECTANGLE, 912.0, 111.0, 935.0, 204.0]	174	1	38	38	"b"	1	Fixation: 2168 ms	38	"b"	0,13	0	0	1	1	"RIGHT"	[ 50]	[STATIC, RECTANGLE, 1130.0, 111.0, 1145.0, 204.0]	50	"r"	1	50	RIGHT	[ 51]	51	Ã¦	51	32	307,49	4,81	34	28	P13	3	1	1327
"P13"	3	199	10	[ 50]	[STATIC, RECTANGLE, 1130.0, 111.0, 1145.0, 204.0]	199	1	50	50	"r"	1	Fixation: 2374 ms	50	"r"	0,22	0	0	1	1	"RIGHT"	[ 58]	[STATIC, RECTANGLE, 1280.0, 111.0, 1295.0, 204.0]	58	"k"	1	58	RIGHT	[ 58]	58	k	58	38	141,58	3,15	38	28	P13	3	1	1327
"P13"	3	178	11	[ 58]	[STATIC, RECTANGLE, 1280.0, 111.0, 1295.0, 204.0]	178	1	58	58	"k"	1	Fixation: 2611 ms	58	"k"	0,50	0	0	1	1	"RIGHT"	[ 61]	[STATIC, RECTANGLE, 1332.0, 111.0, 1355.0, 204.0]	61	"a"	1	61	RIGHT	[ 60]	60	b	60	17	83,98	1,04	50	28	P13	3	1	1327
"P13"	3	599	12	[ 61]	[STATIC, RECTANGLE, 1332.0, 111.0, 1355.0, 204.0]	599	1	61	61	"a"	1	Fixation: 2806 ms	61	"a"	0,19	0	0	1	1	"RIGHT"	[ 55]	[STATIC, RECTANGLE, 1212.0, 111.0, 1235.0, 204.0]	55	"e"	1	55	LEFT	[ 54]	54	e	54	29	167,03	2,83	58	28	P13	3	1	1327
"P13"	3	295	13	[ 55]	[STATIC, RECTANGLE, 1212.0, 111.0, 1235.0, 204.0]	295	1	55	55	"e"	1	Fixation: 3434 ms	55	"e"	0,18	0	1	1	1	"RIGHT"	[ 67]	[STATIC, RECTANGLE, 1467.0, 111.0, 1490.0, 204.0]	67	"s"	1	67	RIGHT	[ 68]	68	k	68	41	240,20	5,79	61	28	P13	3	1	1327
"P13"	3	256	14	[ 67]	[STATIC, RECTANGLE, 1467.0, 111.0, 1490.0, 204.0]	256	1	67	67	"s"	1	Fixation: 3770 ms	67	"s"	0,76	0	0	1	1	"RIGHT"	[ 73]	[STATIC, RECTANGLE, 1580.0, 111.0, 1602.0, 204.0]	73	"i"	1	73	RIGHT	[ 73]	73	i	73	25	181,45	2,42	55	28	P13	3	1	1327
"P13"	3	112	15	[ 73]	[STATIC, RECTANGLE, 1580.0, 111.0, 1602.0, 204.0]	112	1	73	73	"i"	1	Fixation: 4051 ms	73	"i"	0,20	0	0	1	1	"RIGHT"	[ 82]	[STATIC, RECTANGLE, 290.0, 204.0, 312.0, 297.0]	82	"s"	1	82	RIGHT	[ 75]	75	a	75	13	54,24	0,58	67	28	P13	3	1	1327
"P13"	3	143	16	[ 82]	[STATIC, RECTANGLE, 290.0, 204.0, 312.0, 297.0]	143	1	82	82	"s"	1	Fixation: 4435 ms	82	"s"	0,45	0	0	1	1	"RIGHT"	[ 89]	[STATIC, RECTANGLE, 410.0, 204.0, 425.0, 297.0]	89	"s"	1	89	RIGHT	[ 90]	90	e	90	30	207,84	3,04	73	28	P13	3	1	1327
"P13"	3	329	17	[ 89]	[STATIC, RECTANGLE, 410.0, 204.0, 425.0, 297.0]	329	1	89	89	"s"	1	Fixation: 4608 ms	89	"s"	0,13	0	0	1	1	"RIGHT"	[ 94]	[STATIC, RECTANGLE, 500.0, 204.0, 522.0, 297.0]	94	","	1	94	RIGHT	[ 95]	95	i	95	22	155,89	2,11	82	28	P13	3	1	1327
"P13"	3	188	18	[ 94]	[STATIC, RECTANGLE, 500.0, 204.0, 522.0, 297.0]	188	1	94	94	","	1	Fixation: 4959 ms	94	","	0,10	0	0	1	1	"RIGHT"	[ 103]	[STATIC, RECTANGLE, 650.0, 204.0, 665.0, 297.0]	103	"e"	1	103	RIGHT	[ 102]	102	k	102	23	200,03	2,65	89	28	P13	3	1	1327
"P13"	3	272	19	[ 103]	[STATIC, RECTANGLE, 650.0, 204.0, 665.0, 297.0]	272	1	103	103	"e"	1	Fixation: 5170 ms	103	"e"	0,23	0	0	1	1	"RIGHT"	[ 113]	[STATIC, RECTANGLE, 860.0, 204.0, 882.0, 297.0]	113	"e"	1	113	RIGHT	[ 114]	114	f	114	42	220,54	4,96	94	28	P13	3	1	1327
"P13"	3	249	20	[ 113]	[STATIC, RECTANGLE, 860.0, 204.0, 882.0, 297.0]	249	1	113	113	"e"	1	Fixation: 5484 ms	113	"e"	0,37	0	0	1	1	"RIGHT"	[ 120]	[STATIC, RECTANGLE, 987.0, 204.0, 1010.0, 297.0]	120	"a"	1	120	RIGHT	[ 120]	120	a	120	26	176,09	2,71	103	28	P13	3	1	1327
"P13"	3	160	21	[ 120]	[STATIC, RECTANGLE, 987.0, 204.0, 1010.0, 297.0]	160	1	120	120	"a"	1	Fixation: 5759 ms	120	"a"	0,05	0	0	1	1	"RIGHT"	[ 127]	[STATIC, RECTANGLE, 1145.0, 204.0, 1160.0, 297.0]	127	"r"	1	127	RIGHT	[ 127]	127	r	127	25	211,76	3,07	113	28	P13	3	1	1327
"P13"	3	194	22	[ 127]	[STATIC, RECTANGLE, 1145.0, 204.0, 1160.0, 297.0]	194	1	127	127	"r"	1	Fixation: 5944 ms	127	"r"	0,11	0	0	1	1	"RIGHT"	[ 139]	[STATIC, RECTANGLE, 1385.0, 204.0, 1407.0, 297.0]	139	"t"	1	139	RIGHT	[ 139]	139	t	139	38	219,32	5,34	120	28	P13	3	1	1327
"P13"	3	176	23	[ 139]	[STATIC, RECTANGLE, 1385.0, 204.0, 1407.0, 297.0]	176	1	139	139	"t"	1	Fixation: 6176 ms	139	"t"	0,54	0	0	1	1	"RIGHT"	[ 144]	[STATIC, RECTANGLE, 1475.0, 204.0, 1497.0, 297.0]	144	"e"	1	144	RIGHT	[ 143]	143	n	143	22	103,79	1,67	127	28	P13	3	1	1327
"P13"	3	156	24	[ 144]	[STATIC, RECTANGLE, 1475.0, 204.0, 1497.0, 297.0]	156	1	144	144	"e"	1	Fixation: 6374 ms	144	"e"	0,17	0	0	1	1	"RIGHT"	[ 147]	[STATIC, RECTANGLE, 1535.0, 204.0, 1550.0, 297.0]	147	"i"	1	147	RIGHT	[ 147]	147	i	147	18	83,75	1,10	139	28	P13	3	1	1327
"P13"	3	192	25	[ 147]	[STATIC, RECTANGLE, 1535.0, 204.0, 1550.0, 297.0]	192	1	147	147	"i"	1	Fixation: 6548 ms	147	"i"	0,17	0	0	1	1	"RIGHT"	[ 156]	[STATIC, RECTANGLE, 290.0, 297.0, 305.0, 390.0]	156	"i"	1	156	LEFT	[ 88]	88	n	88	114	414,00	23,12	144	28	P13	3	1	1327
"P13"	3	422	26	[ 156]	[STATIC, RECTANGLE, 290.0, 297.0, 305.0, 390.0]	422	1	156	156	"i"	1	Fixation: 6943 ms	156	"i"	0,09	0	0	1	1	"RIGHT"	[ 129]	[STATIC, RECTANGLE, 1175.0, 204.0, 1190.0, 297.0]	129	"d"	1	129	RIGHT	[ 129]	129	d	129	74	586,43	18,26	147	28	P13	3	1	1327
"P13"	3	341	27	[ 129]	[STATIC, RECTANGLE, 1175.0, 204.0, 1190.0, 297.0]	341	1	129	129	"d"	1	Fixation: 7439 ms	129	"d"	0,03	0	1	1	1	"RIGHT"	[ 136]	[STATIC, RECTANGLE, 1325.0, 204.0, 1340.0, 297.0]	136	"o"	1	136	RIGHT	[ 136]	136	o	136	35	226,84	2,64	156	28	P13	3	1	1327
"P13"	3	184	28	[ 136]	[STATIC, RECTANGLE, 1325.0, 204.0, 1340.0, 297.0]	184	1	136	136	"o"	1	Fixation: 7815 ms	136	"o"	0,50	0	1	1	1	"RIGHT"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	129	28	P13	3	1	1327
"P13"	4	251	1	[ ]	.	.	.	.	.	.	.	Fixation: 7 ms	208	"r"	4,09	.	.	.	.	"RIGHT"	[ 197]	[STATIC, RECTANGLE, 740.0, 297.0, 762.0, 390.0]	197	"r"	1	197	LEFT	[ 196]	196	o	196	43	235,63	6,60	.	37	P13	4	2	1327
"P13"	4	103	2	[ 197]	[STATIC, RECTANGLE, 740.0, 297.0, 762.0, 390.0]	103	1	197	197	"r"	1	Fixation: 301 ms	197	"r"	0,37	0	0	1	1	"RIGHT"	[ ]	.	.	.	.	.	LEFT	[ 13]	13	a	13	437	284,29	7,57	.	37	P13	4	2	1327
"P13"	4	438	3	[ ]	.	.	.	.	.	.	.	Fixation: 841 ms	14	"g"	1,09	.	.	.	.	"RIGHT"	[ 22]	[STATIC, RECTANGLE, 590.0, 111.0, 605.0, 204.0]	22	"a"	1	22	RIGHT	[ 22]	22	a	22	28	176,33	2,73	197	37	P13	4	2	1327
"P13"	4	213	4	[ 22]	[STATIC, RECTANGLE, 590.0, 111.0, 605.0, 204.0]	213	1	22	22	"a"	1	Fixation: 1307 ms	22	"a"	0,55	0	1	1	1	"RIGHT"	[ 36]	[STATIC, RECTANGLE, 830.0, 111.0, 845.0, 204.0]	36	"v"	1	36	RIGHT	[ 37]	37	a	37	39	285,45	5,30	.	37	P13	4	2	1327
"P13"	4	199	5	[ 36]	[STATIC, RECTANGLE, 830.0, 111.0, 845.0, 204.0]	199	1	36	36	"v"	1	Fixation: 1559 ms	36	"v"	0,43	0	1	1	1	"RIGHT"	[ 44]	[STATIC, RECTANGLE, 972.0, 111.0, 995.0, 204.0]	44	"m"	1	44	RIGHT	[ 44]	44	m	44	37	159,00	3,10	22	37	P13	4	2	1327
"P13"	4	160	6	[ 44]	[STATIC, RECTANGLE, 972.0, 111.0, 995.0, 204.0]	160	1	44	44	"m"	1	Fixation: 1795 ms	44	"m"	0,24	0	1	1	1	"RIGHT"	[ 50]	[STATIC, RECTANGLE, 1085.0, 111.0, 1107.0, 204.0]	50	"g"	1	50	RIGHT	[ 49]	49	o	49	23	167,97	2,24	36	37	P13	4	2	1327
"P13"	4	205	7	[ 50]	[STATIC, RECTANGLE, 1085.0, 111.0, 1107.0, 204.0]	205	1	50	50	"g"	1	Fixation: 1978 ms	50	"g"	0,25	0	1	1	1	"RIGHT"	[ 53]	[STATIC, RECTANGLE, 1145.0, 111.0, 1160.0, 204.0]	53	"g"	1	53	RIGHT	[ 54]	54	e	54	23	123,50	1,59	44	37	P13	4	2	1327
"P13"	4	214	8	[ 53]	[STATIC, RECTANGLE, 1145.0, 111.0, 1160.0, 204.0]	214	1	53	53	"g"	1	Fixation: 2206 ms	53	"g"	0,08	0	1	1	1	"RIGHT"	[ 63]	[STATIC, RECTANGLE, 1325.0, 111.0, 1340.0, 204.0]	63	"n"	1	63	RIGHT	[ 63]	63	n	63	26	256,57	3,73	50	37	P13	4	2	1327
"P13"	4	305	9	[ 63]	[STATIC, RECTANGLE, 1325.0, 111.0, 1340.0, 204.0]	305	1	63	63	"n"	1	Fixation: 2446 ms	63	"n"	0,13	0	1	1	1	"RIGHT"	[ 73]	[STATIC, RECTANGLE, 1505.0, 111.0, 1520.0, 204.0]	73	"b"	1	73	RIGHT	[ 73]	73	b	73	26	248,96	3,64	53	37	P13	4	2	1327
"P13"	4	240	10	[ 73]	[STATIC, RECTANGLE, 1505.0, 111.0, 1520.0, 204.0]	240	1	73	73	"b"	1	Fixation: 2777 ms	73	"b"	0,49	0	1	1	1	"RIGHT"	[ 79]	[STATIC, RECTANGLE, 1595.0, 111.0, 1610.0, 204.0]	79	"n"	1	79	RIGHT	[ 78]	78	i	78	21	119,80	1,60	63	37	P13	4	2	1327
"P13"	4	170	11	[ 79]	[STATIC, RECTANGLE, 1595.0, 111.0, 1610.0, 204.0]	170	1	79	79	"n"	1	Fixation: 3038 ms	79	"n"	0,09	0	1	1	1	"RIGHT"	[ 81]	[STATIC, RECTANGLE, 1632.0, 111.0, 1655.0, 204.0]	81	"a"	1	81	RIGHT	[ 81]	81	a	81	17	86,33	1,09	73	37	P13	4	2	1327
"P13"	4	125	12	[ 81]	[STATIC, RECTANGLE, 1632.0, 111.0, 1655.0, 204.0]	125	1	81	81	"a"	1	Fixation: 3225 ms	81	"a"	0,84	0	1	1	1	"RIGHT"	[ 90]	[STATIC, RECTANGLE, 305.0, 204.0, 327.0, 297.0]	90	","	1	90	LEFT	[ 91]	91	d	91	106	456,93	26,17	79	37	P13	4	2	1327
"P13"	4	115	13	[ 90]	[STATIC, RECTANGLE, 305.0, 204.0, 327.0, 297.0]	274	2	90	90	","	1	Fixation: 3456 ms	90	","	0,65	0	1	1	2	"RIGHT"	[ 90]	[STATIC, RECTANGLE, 305.0, 204.0, 327.0, 297.0]	90	","	1	90	.	[ 89]	89	r	89	11	43,21	0,44	81	37	P13	4	2	1327
"P13"	4	159	14	[ 90]	[STATIC, RECTANGLE, 305.0, 204.0, 327.0, 297.0]	274	2	90	90	","	1	Fixation: 3582 ms	90	","	0,47	0	1	2	2	"RIGHT"	[ 98]	[STATIC, RECTANGLE, 470.0, 204.0, 485.0, 297.0]	98	"g"	1	98	RIGHT	[ 98]	98	g	98	33	250,09	3,49	90	37	P13	4	2	1327
"P13"	4	290	15	[ 98]	[STATIC, RECTANGLE, 470.0, 204.0, 485.0, 297.0]	290	1	98	98	"g"	1	Fixation: 3774 ms	98	"g"	0,10	0	1	1	1	"RIGHT"	[ 102]	[STATIC, RECTANGLE, 530.0, 204.0, 552.0, 297.0]	102	"t"	1	102	RIGHT	[ 103]	103	â€“	103	23	99,21	1,46	90	37	P13	4	2	1327
"P13"	4	112	16	[ 102]	[STATIC, RECTANGLE, 530.0, 204.0, 552.0, 297.0]	112	1	102	102	"t"	1	Fixation: 4087 ms	102	"t"	0,12	0	1	1	1	"RIGHT"	[ 111]	[STATIC, RECTANGLE, 702.0, 204.0, 725.0, 297.0]	111	"v"	1	111	RIGHT	[ 111]	111	v	111	30	257,66	3,55	98	37	P13	4	2	1327
"P13"	4	335	17	[ 111]	[STATIC, RECTANGLE, 702.0, 204.0, 725.0, 297.0]	335	1	111	111	"v"	1	Fixation: 4229 ms	111	"v"	0,40	0	1	1	1	"RIGHT"	[ 117]	[STATIC, RECTANGLE, 815.0, 204.0, 837.0, 297.0]	117	"t"	1	117	RIGHT	[ 117]	117	t	117	25	155,13	2,35	102	37	P13	4	2	1327
"P13"	4	185	18	[ 117]	[STATIC, RECTANGLE, 815.0, 204.0, 837.0, 297.0]	185	1	117	117	"t"	1	Fixation: 4589 ms	117	"t"	0,82	0	1	1	1	"RIGHT"	[ 123]	[STATIC, RECTANGLE, 920.0, 204.0, 935.0, 297.0]	123	"d"	1	123	.	[ 117]	117	t	117	26	41,59	0,13	111	37	P13	4	2	1327
"P13"	4	182	19	[ 123]	[STATIC, RECTANGLE, 920.0, 204.0, 935.0, 297.0]	182	1	123	123	"d"	1	Fixation: 4800 ms	123	"d"	0,55	0	1	1	1	"RIGHT"	[ 135]	[STATIC, RECTANGLE, 1145.0, 204.0, 1160.0, 297.0]	135	"Ã¸"	1	135	RIGHT	[ 133]	133	s	133	33	217,34	4,24	117	37	P13	4	2	1327
"P13"	4	238	20	[ 135]	[STATIC, RECTANGLE, 1145.0, 204.0, 1160.0, 297.0]	743	2	135	135	"Ã¸"	1	Fixation: 5015 ms	135	"Ã¸"	0,23	0	1	1	1	"RIGHT"	[ 142]	[STATIC, RECTANGLE, 1235.0, 204.0, 1250.0, 297.0]	142	"l"	1	142	RIGHT	[ 142]	142	l	142	23	159,76	2,10	123	37	P13	4	2	1327
"P13"	4	227	21	[ 142]	[STATIC, RECTANGLE, 1235.0, 204.0, 1250.0, 297.0]	227	1	142	142	"l"	1	Fixation: 5276 ms	142	"l"	0,19	0	1	1	1	"RIGHT"	[ 156]	[STATIC, RECTANGLE, 1482.0, 204.0, 1505.0, 297.0]	156	"v"	1	156	RIGHT	[ 156]	156	v	156	40	263,69	5,48	135	37	P13	4	2	1327
"P13"	4	246	22	[ 156]	[STATIC, RECTANGLE, 1482.0, 204.0, 1505.0, 297.0]	553	2	156	156	"v"	1	Fixation: 5543 ms	156	"v"	0,65	0	1	1	1	"RIGHT"	[ 160]	[STATIC, RECTANGLE, 1550.0, 204.0, 1565.0, 297.0]	160	"i"	1	160	RIGHT	[ 161]	161	e	161	22	121,98	1,71	142	37	P13	4	2	1327
"P13"	4	133	23	[ 160]	[STATIC, RECTANGLE, 1550.0, 204.0, 1565.0, 297.0]	133	1	160	160	"i"	1	Fixation: 5811 ms	160	"i"	0,09	0	1	1	1	"RIGHT"	[ 156]	[STATIC, RECTANGLE, 1482.0, 204.0, 1505.0, 297.0]	156	"v"	2	156	LEFT	[ 156]	156	v	156	119	93,22	0,89	156	37	P13	4	2	1327
"P13"	4	307	24	[ 156]	[STATIC, RECTANGLE, 1482.0, 204.0, 1505.0, 297.0]	553	2	156	156	"v"	2	Fixation: 6063 ms	156	"v"	0,48	22	1	1	1	"RIGHT"	[ 164]	[STATIC, RECTANGLE, 1617.0, 204.0, 1640.0, 297.0]	164	"s"	1	164	LEFT	[ 156]	156	v	156	32	0,00	0,89	160	37	P13	4	2	1327
"P13"	4	202	25	[ 164]	[STATIC, RECTANGLE, 1617.0, 204.0, 1640.0, 297.0]	202	1	164	164	"s"	1	Fixation: 6402 ms	164	"s"	0,27	0	1	1	1	"RIGHT"	[ 166]	[STATIC, RECTANGLE, 1655.0, 204.0, 1666.0, 297.0]	166	"ÌŠ"	1	166	RIGHT	[ ]	.	.	.	15	46,84	0,54	156	37	P13	4	2	1327
